"","state_abb","year","population"
"395","OR","2007",3722417
"396","PA","2007",12563937
"397","RI","2007",1057315
"398","SC","2007",4444110
"399","SD","2007",791623
"400","TN","2007",6175727
"401","TX","2007",23831983
"402","UT","2007",2597746
"403","VT","2007",623481
"404","VA","2007",7751000
"405","WA","2007",6461587
"406","WV","2007",1834052
"407","WI","2007",5610775
"408","WY","2007",534876
"409","AL","2008",4718206
"410","AK","2008",687455
"411","AZ","2008",6280362
"412","AR","2008",2874554
"413","CA","2008",36604337
"414","CO","2008",4889730
"415","CT","2008",3545579
"416","DE","2008",883874
"417","DC","2008",580236
"418","FL","2008",18527305
"419","GA","2008",9504843
"420","HI","2008",1332213
"421","ID","2008",1534320
"422","IL","2008",12747038
"423","IN","2008",6424806
"424","IA","2008",3016734
"425","KS","2008",2808076
"426","KY","2008",4289878
"427","LA","2008",4435586
"428","ME","2008",1330509
"429","MD","2008",5684965
"430","MA","2008",6468967
"431","MI","2008",9946889
"432","MN","2008",5247018
"433","MS","2008",2947806
"434","MO","2008",5923916
"435","MT","2008",976415
"436","NE","2008",1796378
"437","NV","2008",2653630
"438","NH","2008",1315906
"439","NJ","2008",8711090
"440","NM","2008",2010662
"441","NY","2008",19212436
"442","NC","2008",9309449
"443","ND","2008",657569
"444","OH","2008",11515391
"445","OK","2008",3668976
"446","OR","2008",3768748
"447","PA","2008",12612285
"448","RI","2008",1055003
"449","SC","2008",4528996
"450","SD","2008",799124
"451","TN","2008",6247411
"452","TX","2008",24309039
"453","UT","2008",2663029
"454","VT","2008",624151
"455","VA","2008",7833496
"456","WA","2008",6562231
"457","WV","2008",1840310
"458","WI","2008",5640996
"459","WY","2008",546043
"460","AL","2009",4757938
"461","AK","2009",698895
"462","AZ","2009",6343154
"463","AR","2009",2896843
"464","CA","2009",36961229
"465","CO","2009",4972195
"466","CT","2009",3561807
"467","DE","2009",891730
"468","DC","2009",592228
"469","FL","2009",18652644
"470","GA","2009",9620846
"471","HI","2009",1346717
"472","ID","2009",1554439
"473","IL","2009",12796778
"474","IN","2009",6459325
"475","IA","2009",3032870
"476","KS","2009",2832704
"477","KY","2009",4317074
"478","LA","2009",4491648
"479","ME","2009",1329590
"480","MD","2009",5730388
"481","MA","2009",6517613
"482","MI","2009",9901591
"483","MN","2009",5281203
"484","MS","2009",2958774
"485","MO","2009",5961088
"486","MT","2009",983982
"487","NE","2009",1812683
"488","NV","2009",2684665
"489","NH","2009",1316102
"490","NJ","2009",8755602
"491","NM","2009",2036802
"492","NY","2009",19307066
"493","NC","2009",9449566
"494","ND","2009",664968
"495","OH","2009",11528896
"496","OK","2009",3717572
"497","OR","2009",3808600
"498","PA","2009",12666858
"499","RI","2009",1053646
"500","SC","2009",4589872
"501","SD","2009",807067
"502","TN","2009",6306019
"503","TX","2009",24801761
"504","UT","2009",2723421
"505","VT","2009",624817
"506","VA","2009",7925937
"507","WA","2009",6667426
"508","WV","2009",1847775
"509","WI","2009",5669264
"510","WY","2009",559851
"511","AL","2010",4785492
"512","AK","2010",714031
"513","AZ","2010",6408312
"514","AR","2010",2921995
"515","CA","2010",37332685
"516","CO","2010",5048644
"517","CT","2010",3579899
"518","DE","2010",899816
"519","DC","2010",605183
"520","FL","2010",18849098
"521","GA","2010",9713521
"522","HI","2010",1363945
"523","ID","2010",1571010
"524","IL","2010",12841578
"525","IN","2010",6490528
"526","IA","2010",3050738
"527","KS","2010",2858850
"528","KY","2010",4348662
"529","LA","2010",4544996
"530","ME","2010",1327730
"531","MD","2010",5788584
"532","MA","2010",6565524
"533","MI","2010",9877495
"534","MN","2010",5311147
"535","MS","2010",2970322
"536","MO","2010",5996118
"537","MT","2010",990641
"538","NE","2010",1830051
"539","NV","2010",2703284
"540","NH","2010",1316872
"541","NJ","2010",8803729
"542","NM","2010",2064756
"543","NY","2010",19402640
"544","NC","2010",9558915
"545","ND","2010",674526
"546","OH","2010",11540983
"547","OK","2010",3759603
"548","OR","2010",3838048
"549","PA","2010",12712343
"550","RI","2010",1053337
"551","SC","2010",4635943
"552","SD","2010",816325
"553","TN","2010",6356671
"554","TX","2010",25244310
"555","UT","2010",2775326
"556","VT","2010",625982
"557","VA","2010",8025773
"558","WA","2010",6743226
"559","WV","2010",1854230
"560","WI","2010",5690263
"561","WY","2010",564513
"562","AL","2011",4799918
"563","AK","2011",722713
"564","AZ","2011",6467163
"565","AR","2011",2939493
"566","CA","2011",37676861
"567","CO","2011",5118360
"568","CT","2011",3589893
"569","DE","2011",907924
"570","DC","2011",620477
"571","FL","2011",19096952
"572","GA","2011",9811610
"573","HI","2011",1377864
"574","ID","2011",1584143
"575","IL","2011",12860012
"576","IN","2011",6516480
"577","IA","2011",3065223
"578","KS","2011",2869503
"579","KY","2011",4369354
"580","LA","2011",4575404
"581","ME","2011",1328231
"582","MD","2011",5843603
"583","MA","2011",6611923
"584","MI","2011",9876213
"585","MN","2011",5348562
"586","MS","2011",2978162
"587","MO","2011",6010717
"588","MT","2011",997821
"589","NE","2011",1842283
"590","NV","2011",2718379
"591","NH","2011",1318473
"592","NJ","2011",8841243
"593","NM","2011",2077756
"594","NY","2011",19519529
"595","NC","2011",9650963
"596","ND","2011",685476
"597","OH","2011",11544824
"598","OK","2011",3786274
"599","OR","2011",3868031
"600","PA","2011",12744293
"601","RI","2011",1052451
"602","SC","2011",4672637
"603","SD","2011",824398
"604","TN","2011",6397634
"605","TX","2011",25646389
"606","UT","2011",2816124
